Total Cost: 935527
Resources in Requisition:
Resource Name: AccessPoint, Quantity: 10, Unit Cost: 202
Resource Name: SmartWashingMachine, Quantity: 8, Unit Cost: 155
Resource Name: SmartWaterShutoffValve, Quantity: 8, Unit Cost: 995
Resource Name: Smartphone, Quantity: 13, Unit Cost: 849
Resource Name: Smartwatch, Quantity: 34, Unit Cost: 752
Resource Name: SmokeDetector, Quantity: 1, Unit Cost: 403
Resource Name: Sprinkler, Quantity: 12, Unit Cost: 590
Resource Name: Supercomputer, Quantity: 49, Unit Cost: 113
Resource Name: Switch, Quantity: 16, Unit Cost: 823
Resource Name: Thermostat, Quantity: 5, Unit Cost: 456
Resource Name: WaterLeakDetector, Quantity: 11, Unit Cost: 856
Resource Name: WaterShutoffValve, Quantity: 16, Unit Cost: 544
Resource Name: Webcam, Quantity: 20, Unit Cost: 381
Resource Name: Window, Quantity: 17, Unit Cost: 856
Resource Name: Workstation, Quantity: 7, Unit Cost: 225
