Total Cost: 754698
Resources in Requisition:
Resource Name: AccessPoint, Quantity: 6, Unit Cost: 870
Resource Name: SmartPetHarness, Quantity: 33, Unit Cost: 307
Resource Name: SmartPetHouse, Quantity: 20, Unit Cost: 911
Resource Name: SmartPetLitterBox, Quantity: 52, Unit Cost: 700
Resource Name: SmartPetShower, Quantity: 34, Unit Cost: 241
Resource Name: SmartPetToilet, Quantity: 35, Unit Cost: 807
Resource Name: SmartPetToy, Quantity: 23, Unit Cost: 945
Resource Name: SmartPetTracker, Quantity: 4, Unit Cost: 912
Resource Name: SmartPetWaterDispenser, Quantity: 14, Unit Cost: 673
Resource Name: SmartSecurityCamera, Quantity: 35, Unit Cost: 284
Resource Name: SmartSmokeDetector, Quantity: 2, Unit Cost: 816
Resource Name: SmartSpeaker, Quantity: 7, Unit Cost: 594
Resource Name: SmartSwitch, Quantity: 1, Unit Cost: 258
Resource Name: SmartThermostat, Quantity: 14, Unit Cost: 582
Resource Name: SmartToaster, Quantity: 3, Unit Cost: 875
Resource Name: SmartTrashCan, Quantity: 28, Unit Cost: 868
Resource Name: SmartVacuum, Quantity: 4, Unit Cost: 98
Resource Name: Table, Quantity: 6, Unit Cost: 552
Resource Name: Tablet, Quantity: 11, Unit Cost: 416
Resource Name: Thermostat, Quantity: 5, Unit Cost: 38
Resource Name: TrashCan, Quantity: 9, Unit Cost: 191
Resource Name: UPS, Quantity: 21, Unit Cost: 331
Resource Name: WaterLeakDetector, Quantity: 2, Unit Cost: 994
Resource Name: WaterShutoffValve, Quantity: 1, Unit Cost: 57
Resource Name: Window, Quantity: 34, Unit Cost: 94
Resource Name: Workstation, Quantity: 12, Unit Cost: 390
